Internat,Zimmernummer,offizielle Zimmerbezeichnung,Geschlecht,Optimalbelegung
Fürstenhaus,1,1.01,m,2
Fürstenhaus,2,1.02,m,2
Fürstenhaus,3,1.03,m,2
Fürstenhaus,4,1.04,m,2
Fürstenhaus,5,1.05,m,1
Fürstenhaus,6,1.06,m,4
Fürstenhaus,7,1.07,m,2
Fürstenhaus,8,1.08,m,2
Fürstenhaus,9,1.09,m,2
Fürstenhaus,10,1.10,m,2
Fürstenhaus,11,1.11,m,2
Fürstenhaus,13,1.13,m,2
Fürstenhaus,14,1.14,m,2
Fürstenhaus,1,2.01,w,2
Fürstenhaus,2,2.02,w,2
Fürstenhaus,3,2.03,w,2
Fürstenhaus,4,2.04,w,2
Fürstenhaus,5,2.05,w,1
Fürstenhaus,6,2.06,w,4
Fürstenhaus,7,2.07,w,2
Fürstenhaus,8,2.08,w,2
Fürstenhaus,9,2.09,w,2
Fürstenhaus,10,2.10,w,2
Fürstenhaus,11,2.11,w,2
Fürstenhaus,12,2.12,w,2
Fürstenhaus,13,2.13,w,2
Fürstenhaus,14,2.14,w,2
