Internat,Zimmer,Bezeichnung ,Geschlecht,Belegung
Klausur,1,K.01,w,4
Klausur,2,K.02,w,4
Klausur,3,K.03,w,2
Klausur,4,K.04,w,2
Klausur,5,K.05,w,3
Klausur,10,K.10,w,2
Klausur,11,K.11,w,2
Klausur,12,K.12,w,3
Klausur,13,K.13,w,2
Klausur,14,K.14,w,2
Klausur,15,K.15,w,2
Klausur,16,K.16,w,3
Klausur,17,K.17,w,2
Klausur,18,K.18,w,3
Klausur,19,K.19,w,2
Klausur,20,K.20,m,2
Klausur,21,K.21,m,2
Klausur,22,K.22,m,3
Klausur,23,K.23,m,3
Klausur,24,K.24,m,2
Klausur,25,K.25,m,2
Klausur,30,K.30,m,2
Klausur,31,K.31,m,2
Klausur,32,K.32,m,3
Klausur,33,K.33,m,1
Klausur,34,K.34,m,2
